,ReportedOrigin,Population,Neighbourhood#
7561,Americas,30,88
7562,Brazil,10,88
7563,Colombia,0,88
7564,El_Salvador,0,88
7565,Guyana,0,88
7566,Haiti,0,88
7567,Jamaica,0,88
7568,Mexico,0,88
7569,Peru,0,88
7570,Trinidad_and_Tobago,10,88
7571,United_States,10,88
7572,Other_places_of_birth_in_Americas,10,88
7573,Europe,115,88
7574,Bosnia_and_Herzegovina,0,88
7575,Croatia,0,88
7576,France,0,88
7577,Germany,0,88
7578,Greece,10,88
7579,Hungary,0,88
7580,Ireland,0,88
7581,Italy,0,88
7582,Netherlands,0,88
7583,Poland,25,88
7584,Portugal,0,88
7585,Romania,0,88
7586,Russian_Federation,15,88
7587,Serbia,10,88
7588,Ukraine,10,88
7589,United_Kingdom,25,88
7590,Other_places_of_birth_in_Europe,15,88
7591,Africa,10,88
7592,Algeria,0,88
7593,Egypt,0,88
7594,Ethiopia,0,88
7595,Kenya,10,88
7596,Morocco,0,88
7597,Nigeria,0,88
7598,Somalia,0,88
7599,South_Africa_Republic_of,0,88
7600,Other_places_of_birth_in_Africa,0,88
7601,Asia,35,88
7602,Afghanistan,0,88
7603,Bangladesh,0,88
7604,China,0,88
7605,Hong_Kong,0,88
7606,India,0,88
7607,Iran,0,88
7608,Iraq,0,88
7609,Japan,0,88
7610,Korea_South,15,88
7611,Lebanon,0,88
7612,Pakistan,0,88
7613,Philippines,10,88
7614,Sri_Lanka,0,88
7615,Syria,0,88
7616,Taiwan,0,88
7617,Viet_Nam,0,88
7618,Other_places_of_birth_in_Asia,10,88
7619,Oceania_and_other_places_of_birth,10,88
7620,Total_Immigrant_Population,1585,88
7621,Americas,275,88
7622,Brazil,0,88
7623,Colombia,10,88
7624,El_Salvador,10,88
7625,Guyana,25,88
7626,Haiti,0,88
7627,Jamaica,25,88
7628,Mexico,10,88
7629,Peru,0,88
7630,Trinidad_and_Tobago,15,88
7631,United_States,120,88
7632,Other_places_of_birth_in_Americas,65,88
7633,Europe,920,88
7634,Bosnia_and_Herzegovina,0,88
7635,Croatia,25,88
7636,France,15,88
7637,Germany,85,88
7638,Greece,10,88
7639,Hungary,25,88
7640,Ireland,10,88
7641,Italy,55,88
7642,Netherlands,0,88
7643,Poland,180,88
7644,Portugal,10,88
7645,Romania,10,88
7646,Russian_Federation,30,88
7647,Serbia,35,88
7648,Ukraine,80,88
7649,United_Kingdom,215,88
7650,Other_places_of_birth_in_Europe,150,88
7651,Africa,40,88
7652,Algeria,10,88
7653,Egypt,10,88
7654,Ethiopia,0,88
7655,Kenya,0,88
7656,Morocco,0,88
7657,Nigeria,10,88
7658,Somalia,0,88
7659,South_Africa_Republic_of,15,88
7660,Other_places_of_birth_in_Africa,15,88
7661,Asia,335,88
7662,Afghanistan,0,88
7663,Bangladesh,0,88
7664,China,55,88
7665,Hong_Kong,30,88
7666,India,40,88
7667,Iran,10,88
7668,Iraq,0,88
7669,Japan,25,88
7670,Korea_South,55,88
7671,Lebanon,0,88
7672,Pakistan,0,88
7673,Philippines,15,88
7674,Sri_Lanka,0,88
7675,Syria,0,88
7676,Taiwan,10,88
7677,Viet_Nam,20,88
7678,Other_places_of_birth_in_Asia,80,88
7679,Oceania_and_other_places_of_birth,10,88
7680,Total_Immigrant_Population,1170,89
7681,Americas,235,89
7682,Brazil,0,89
7683,Colombia,0,89
7684,El_Salvador,0,89
7685,Guyana,25,89
7686,Haiti,0,89
7687,Jamaica,15,89
7688,Mexico,10,89
7689,Peru,10,89
7690,Trinidad_and_Tobago,0,89
7691,United_States,100,89
7692,Other_places_of_birth_in_Americas,65,89
7693,Europe,570,89
7694,Bosnia_and_Herzegovina,0,89
7695,Croatia,35,89
7696,France,20,89
7697,Germany,25,89
7698,Greece,25,89
7699,Hungary,0,89
7700,Ireland,0,89
7701,Italy,25,89
7702,Netherlands,20,89
7703,Poland,75,89
7704,Portugal,20,89
7705,Romania,0,89
7706,Russian_Federation,20,89
7707,Serbia,15,89
7708,Ukraine,45,89
7709,United_Kingdom,115,89
7710,Other_places_of_birth_in_Europe,135,89
7711,Africa,70,89
7712,Algeria,0,89
7713,Egypt,20,89
7714,Ethiopia,10,89
7715,Kenya,0,89
7716,Morocco,0,89
7717,Nigeria,0,89
7718,Somalia,0,89
7719,South_Africa_Republic_of,40,89
7720,Other_places_of_birth_in_Africa,0,89
7721,Asia,270,89
7722,Afghanistan,0,89
7723,Bangladesh,0,89
7724,China,40,89
7725,Hong_Kong,25,89
7726,India,20,89
7727,Iran,25,89
7728,Iraq,0,89
7729,Japan,10,89
7730,Korea_South,15,89
7731,Lebanon,10,89
7732,Pakistan,15,89
7733,Philippines,30,89
7734,Sri_Lanka,15,89
7735,Syria,0,89
7736,Taiwan,0,89
7737,Viet_Nam,30,89
7738,Other_places_of_birth_in_Asia,30,89
7739,Oceania_and_other_places_of_birth,25,89
7740,Total_Immigrant_Population,1145,90
7741,Americas,190,90
7742,Brazil,15,90
7743,Colombia,10,90
7744,El_Salvador,0,90
7745,Guyana,10,90
7746,Haiti,0,90
7747,Jamaica,20,90
7748,Mexico,10,90
7749,Peru,25,90
7750,Trinidad_and_Tobago,10,90
7751,United_States,45,90
7752,Other_places_of_birth_in_Americas,50,90
7753,Europe,640,90
7754,Bosnia_and_Herzegovina,0,90
7755,Croatia,10,90
7756,France,0,90
7757,Germany,40,90
7758,Greece,50,90
7759,Hungary,10,90
7760,Ireland,20,90
7761,Italy,50,90
7762,Netherlands,0,90
7763,Poland,35,90
7764,Portugal,95,90
7765,Romania,15,90
7766,Russian_Federation,30,90
7767,Serbia,20,90
7768,Ukraine,20,90
7769,United_Kingdom,95,90
7770,Other_places_of_birth_in_Europe,165,90
7771,Africa,25,90
7772,Algeria,0,90
7773,Egypt,0,90
7774,Ethiopia,0,90
7775,Kenya,0,90
7776,Morocco,0,90
7777,Nigeria,0,90
7778,Somalia,0,90
7779,South_Africa_Republic_of,0,90
7780,Other_places_of_birth_in_Africa,10,90
7781,Asia,280,90
7782,Afghanistan,0,90
7783,Bangladesh,10,90
7784,China,55,90
7785,Hong_Kong,15,90
7786,India,15,90
7787,Iran,0,90
7788,Iraq,0,90
7789,Japan,10,90
7790,Korea_South,10,90
7791,Lebanon,0,90
7792,Pakistan,0,90
7793,Philippines,20,90
7794,Sri_Lanka,0,90
7795,Syria,0,90
7796,Taiwan,15,90
7797,Viet_Nam,70,90
7798,Other_places_of_birth_in_Asia,50,90
7799,Oceania_and_other_places_of_birth,10,90
7800,Total_Immigrant_Population,1925,90
7801,Americas,315,90
7802,Brazil,25,90
7803,Colombia,0,90
7804,El_Salvador,15,90
7805,Guyana,35,90
7806,Haiti,0,90
7807,Jamaica,55,90
7808,Mexico,40,90
7809,Peru,20,90
7810,Trinidad_and_Tobago,40,90
7811,United_States,10,90
7812,Other_places_of_birth_in_Americas,75,90
7813,Europe,530,90
7814,Bosnia_and_Herzegovina,0,90
7815,Croatia,10,90
7816,France,0,90
7817,Germany,10,90
7818,Greece,10,90
7819,Hungary,10,90
7820,Ireland,10,90
7821,Italy,35,90
7822,Netherlands,0,90
7823,Poland,20,90
7824,Portugal,325,90
7825,Romania,20,90
7826,Russian_Federation,10,90
7827,Serbia,10,90
7828,Ukraine,35,90
7829,United_Kingdom,20,90
7830,Other_places_of_birth_in_Europe,25,90
7831,Africa,80,90
7832,Algeria,0,90
7833,Egypt,0,90
7834,Ethiopia,10,90
7835,Kenya,0,90
7836,Morocco,0,90
7837,Nigeria,10,90
7838,Somalia,0,90
7839,South_Africa_Republic_of,0,90
7840,Other_places_of_birth_in_Africa,55,90
7841,Asia,1005,90
7842,Afghanistan,0,90
7843,Bangladesh,10,90
7844,China,160,90
7845,Hong_Kong,15,90
7846,India,110,90
7847,Iran,10,90
7848,Iraq,0,90
7849,Japan,15,90
7850,Korea_South,0,90
7851,Lebanon,0,90
7852,Pakistan,15,90
7853,Philippines,335,90
7854,Sri_Lanka,15,90
7855,Syria,0,90
7856,Taiwan,10,90
7857,Viet_Nam,220,90
7858,Other_places_of_birth_in_Asia,105,90
7859,Oceania_and_other_places_of_birth,0,90
7860,Total_Immigrant_Population,2515,91
7861,Americas,595,91
7862,Brazil,65,91
7863,Colombia,20,91
7864,El_Salvador,35,91
7865,Guyana,45,91
7866,Haiti,0,91
7867,Jamaica,85,91
7868,Mexico,45,91
7869,Peru,15,91
7870,Trinidad_and_Tobago,45,91
7871,United_States,30,91
7872,Other_places_of_birth_in_Americas,215,91
7873,Europe,1320,91
7874,Bosnia_and_Herzegovina,0,91
7875,Croatia,15,91
7876,France,15,91
7877,Germany,0,91
7878,Greece,65,91
7879,Hungary,10,91
7880,Ireland,0,91
7881,Italy,230,91
7882,Netherlands,0,91
7883,Poland,0,91
7884,Portugal,910,91
7885,Romania,0,91
7886,Russian_Federation,20,91
7887,Serbia,0,91
7888,Ukraine,0,91
7889,United_Kingdom,35,91
7890,Other_places_of_birth_in_Europe,10,91
7891,Africa,35,91
7892,Algeria,0,91
7893,Egypt,0,91
7894,Ethiopia,0,91
7895,Kenya,0,91
7896,Morocco,0,91
7897,Nigeria,0,91
7898,Somalia,0,91
7899,South_Africa_Republic_of,0,91
7900,Other_places_of_birth_in_Africa,35,91
7901,Asia,550,91
7902,Afghanistan,0,91
7903,Bangladesh,10,91
7904,China,25,91
7905,Hong_Kong,0,91
7906,India,20,91
7907,Iran,10,91
7908,Iraq,0,91
7909,Japan,10,91
7910,Korea_South,0,91
7911,Lebanon,0,91
7912,Pakistan,20,91
7913,Philippines,150,91
7914,Sri_Lanka,15,91
7915,Syria,0,91
7916,Taiwan,0,91
7917,Viet_Nam,180,91
7918,Other_places_of_birth_in_Asia,100,91
7919,Oceania_and_other_places_of_birth,10,91
7920,Total_Immigrant_Population,2855,91
7921,Americas,695,91
7922,Brazil,40,91
7923,Colombia,35,91
7924,El_Salvador,50,91
7925,Guyana,55,91
7926,Haiti,0,91
7927,Jamaica,120,91
7928,Mexico,30,91
7929,Peru,25,91
7930,Trinidad_and_Tobago,60,91
7931,United_States,20,91
7932,Other_places_of_birth_in_Americas,265,91
7933,Europe,1225,91
7934,Bosnia_and_Herzegovina,0,91
7935,Croatia,10,91
7936,France,15,91
7937,Germany,10,91
7938,Greece,30,91
7939,Hungary,20,91
7940,Ireland,0,91
7941,Italy,175,91
7942,Netherlands,0,91
7943,Poland,35,91
7944,Portugal,825,91
7945,Romania,0,91
7946,Russian_Federation,20,91
7947,Serbia,15,91
7948,Ukraine,15,91
7949,United_Kingdom,35,91
7950,Other_places_of_birth_in_Europe,30,91
7951,Africa,345,91
7952,Algeria,0,91
7953,Egypt,10,91
7954,Ethiopia,95,91
7955,Kenya,0,91
7956,Morocco,0,91
7957,Nigeria,10,91
7958,Somalia,50,91
7959,South_Africa_Republic_of,0,91
7960,Other_places_of_birth_in_Africa,165,91
7961,Asia,575,91
7962,Afghanistan,0,91
7963,Bangladesh,55,91
7964,China,40,91
7965,Hong_Kong,10,91
7966,India,80,91
7967,Iran,15,91
7968,Iraq,15,91
7969,Japan,0,91
7970,Korea_South,0,91
7971,Lebanon,0,91
7972,Pakistan,0,91
7973,Philippines,70,91
7974,Sri_Lanka,0,91
7975,Syria,0,91
7976,Taiwan,0,91
7977,Viet_Nam,250,91
7978,Other_places_of_birth_in_Asia,30,91
7979,Oceania_and_other_places_of_birth,10,91
7980,Total_Immigrant_Population,2255,93
7981,Americas,405,93
7982,Brazil,145,93
7983,Colombia,15,93
7984,El_Salvador,20,93
7985,Guyana,10,93
7986,Haiti,0,93
7987,Jamaica,20,93
7988,Mexico,20,93
7989,Peru,10,93
7990,Trinidad_and_Tobago,15,93
7991,United_States,35,93
7992,Other_places_of_birth_in_Americas,120,93
7993,Europe,1215,93
7994,Bosnia_and_Herzegovina,0,93
7995,Croatia,0,93
7996,France,15,93
7997,Germany,0,93
7998,Greece,30,93
7999,Hungary,20,93
8000,Ireland,0,93
8001,Italy,130,93
8002,Netherlands,10,93
8003,Poland,15,93
8004,Portugal,910,93
8005,Romania,0,93
8006,Russian_Federation,0,93
8007,Serbia,0,93
8008,Ukraine,0,93
8009,United_Kingdom,60,93
8010,Other_places_of_birth_in_Europe,20,93
8011,Africa,60,93
8012,Algeria,10,93
8013,Egypt,0,93
8014,Ethiopia,10,93
8015,Kenya,10,93
8016,Morocco,0,93
8017,Nigeria,0,93
8018,Somalia,15,93
8019,South_Africa_Republic_of,0,93
8020,Other_places_of_birth_in_Africa,35,93
8021,Asia,570,93
8022,Afghanistan,0,93
8023,Bangladesh,10,93
8024,China,115,93
8025,Hong_Kong,25,93
8026,India,45,93
8027,Iran,15,93
8028,Iraq,0,93
8029,Japan,0,93
8030,Korea_South,20,93
8031,Lebanon,0,93
8032,Pakistan,10,93
8033,Philippines,135,93
8034,Sri_Lanka,20,93
8035,Syria,0,93
8036,Taiwan,10,93
8037,Viet_Nam,120,93
8038,Other_places_of_birth_in_Asia,45,93
8039,Oceania_and_other_places_of_birth,10,93
8040,Total_Immigrant_Population,1630,92
8041,Americas,420,92
8042,Brazil,60,92
8043,Colombia,10,92
8044,El_Salvador,55,92
8045,Guyana,15,92
8046,Haiti,0,92
8047,Jamaica,25,92
8048,Mexico,40,92
8049,Peru,25,92
8050,Trinidad_and_Tobago,0,92
8051,United_States,35,92
8052,Other_places_of_birth_in_Americas,150,92
8053,Europe,870,92
8054,Bosnia_and_Herzegovina,0,92
8055,Croatia,0,92
8056,France,0,92
8057,Germany,15,92
8058,Greece,15,92
8059,Hungary,0,92
8060,Ireland,0,92
8061,Italy,310,92
8062,Netherlands,0,92
8063,Poland,15,92
8064,Portugal,440,92
8065,Romania,0,92
8066,Russian_Federation,0,92
8067,Serbia,10,92
8068,Ukraine,0,92
8069,United_Kingdom,25,92
8070,Other_places_of_birth_in_Europe,30,92
8071,Africa,35,92
8072,Algeria,0,92
8073,Egypt,0,92
8074,Ethiopia,10,92
8075,Kenya,0,92
8076,Morocco,10,92
8077,Nigeria,0,92
8078,Somalia,0,92
8079,South_Africa_Republic_of,10,92
8080,Other_places_of_birth_in_Africa,15,92
8081,Asia,295,92
8082,Afghanistan,0,92
8083,Bangladesh,0,92
8084,China,70,92
8085,Hong_Kong,15,92
8086,India,35,92
8087,Iran,0,92
8088,Iraq,0,92
8089,Japan,0,92
8090,Korea_South,10,92
8091,Lebanon,0,92
8092,Pakistan,10,92
8093,Philippines,95,92
8094,Sri_Lanka,0,92
8095,Syria,0,92
8096,Taiwan,0,92
8097,Viet_Nam,25,92
8098,Other_places_of_birth_in_Asia,20,92
8099,Oceania_and_other_places_of_birth,15,92
8100,Total_Immigrant_Population,1205,92
8101,Americas,235,92
8102,Brazil,45,92
8103,Colombia,10,92
8104,El_Salvador,0,92
8105,Guyana,0,92
8106,Haiti,0,92
8107,Jamaica,0,92
8108,Mexico,0,92
8109,Peru,25,92
8110,Trinidad_and_Tobago,0,92
8111,United_States,15,92
8112,Other_places_of_birth_in_Americas,135,92
8113,Europe,835,92
8114,Bosnia_and_Herzegovina,0,92
8115,Croatia,0,92
8116,France,10,92
8117,Germany,10,92
8118,Greece,0,92
8119,Hungary,0,92
8120,Ireland,0,92
8121,Italy,265,92
8122,Netherlands,0,92
8123,Poland,0,92
8124,Portugal,515,92
8125,Romania,0,92
8126,Russian_Federation,0,92
8127,Serbia,10,92
8128,Ukraine,0,92
8129,United_Kingdom,10,92
8130,Other_places_of_birth_in_Europe,10,92
8131,Africa,20,92
8132,Algeria,10,92
8133,Egypt,0,92
8134,Ethiopia,0,92
8135,Kenya,0,92
8136,Morocco,0,92
8137,Nigeria,0,92
8138,Somalia,0,92
8139,South_Africa_Republic_of,0,92
8140,Other_places_of_birth_in_Africa,15,92
8141,Asia,110,92
8142,Afghanistan,0,92
8143,Bangladesh,0,92
8144,China,20,92
8145,Hong_Kong,10,92
8146,India,15,92
8147,Iran,0,92
8148,Iraq,0,92
8149,Japan,0,92
8150,Korea_South,10,92
8151,Lebanon,0,92
8152,Pakistan,0,92
8153,Philippines,35,92
8154,Sri_Lanka,0,92
8155,Syria,0,92
8156,Taiwan,0,92
8157,Viet_Nam,20,92
8158,Other_places_of_birth_in_Asia,0,92
8159,Oceania_and_other_places_of_birth,0,92
8160,Total_Immigrant_Population,2445,92
8161,Americas,510,92
8162,Brazil,60,92
8163,Colombia,60,92
8164,El_Salvador,30,92
8165,Guyana,20,92
8166,Haiti,0,92
8167,Jamaica,35,92
8168,Mexico,35,92
8169,Peru,10,92
8170,Trinidad_and_Tobago,45,92
8171,United_States,45,92
8172,Other_places_of_birth_in_Americas,165,92
8173,Europe,1525,92
8174,Bosnia_and_Herzegovina,10,92
8175,Croatia,0,92
8176,France,20,92
8177,Germany,10,92
8178,Greece,0,92
8179,Hungary,0,92
8180,Ireland,0,92
8181,Italy,515,92
8182,Netherlands,0,92
8183,Poland,10,92
8184,Portugal,850,92
8185,Romania,0,92
8186,Russian_Federation,15,92
8187,Serbia,0,92
8188,Ukraine,10,92
8189,United_Kingdom,30,92
8190,Other_places_of_birth_in_Europe,50,92
8191,Africa,50,92
8192,Algeria,0,92
8193,Egypt,0,92
8194,Ethiopia,0,92
8195,Kenya,10,92
8196,Morocco,10,92
8197,Nigeria,10,92
8198,Somalia,0,92
8199,South_Africa_Republic_of,0,92
8200,Other_places_of_birth_in_Africa,30,92
8201,Asia,360,92
8202,Afghanistan,0,92
8203,Bangladesh,0,92
8204,China,60,92
8205,Hong_Kong,20,92
8206,India,10,92
8207,Iran,85,92
8208,Iraq,0,92
8209,Japan,0,92
8210,Korea_South,45,92
8211,Lebanon,10,92
8212,Pakistan,10,92
8213,Philippines,60,92
8214,Sri_Lanka,10,92
8215,Syria,0,92
8216,Taiwan,0,92
8217,Viet_Nam,35,92
8218,Other_places_of_birth_in_Asia,10,92
8219,Oceania_and_other_places_of_birth,0,92
8220,Total_Immigrant_Population,815,92
8221,Americas,230,92
8222,Brazil,15,92
8223,Colombia,0,92
8224,El_Salvador,0,92
8225,Guyana,10,92
8226,Haiti,0,92
8227,Jamaica,45,92
8228,Mexico,20,92
8229,Peru,10,92
8230,Trinidad_and_Tobago,0,92
8231,United_States,40,92
8232,Other_places_of_birth_in_Americas,95,92
8233,Europe,400,92
8234,Bosnia_and_Herzegovina,0,92
8235,Croatia,0,92
8236,France,0,92
8237,Germany,15,92
8238,Greece,25,92
8239,Hungary,0,92
8240,Ireland,0,92
8241,Italy,105,92
8242,Netherlands,0,92
8243,Poland,10,92
8244,Portugal,170,92
8245,Romania,0,92
8246,Russian_Federation,10,92
8247,Serbia,0,92
8248,Ukraine,0,92
8249,United_Kingdom,30,92
8250,Other_places_of_birth_in_Europe,35,92
8251,Africa,35,92
8252,Algeria,0,92
8253,Egypt,0,92
8254,Ethiopia,10,92
8255,Kenya,0,92
8256,Morocco,0,92
8257,Nigeria,0,92
8258,Somalia,0,92
8259,South_Africa_Republic_of,10,92
8260,Other_places_of_birth_in_Africa,15,92
8261,Asia,145,92
8262,Afghanistan,0,92
8263,Bangladesh,10,92
8264,China,30,92
8265,Hong_Kong,10,92
8266,India,10,92
8267,Iran,10,92
8268,Iraq,0,92
8269,Japan,0,92
8270,Korea_South,0,92
8271,Lebanon,10,92
8272,Pakistan,0,92
8273,Philippines,60,92
8274,Sri_Lanka,0,92
8275,Syria,0,92
8276,Taiwan,0,92
8277,Viet_Nam,10,92
8278,Other_places_of_birth_in_Asia,10,92
8279,Oceania_and_other_places_of_birth,10,92
8280,Total_Immigrant_Population,1665,94
8281,Americas,385,94
8282,Brazil,25,94
8283,Colombia,35,94
8284,El_Salvador,10,94
8285,Guyana,0,94
8286,Haiti,0,94
8287,Jamaica,75,94
8288,Mexico,0,94
8289,Peru,15,94
8290,Trinidad_and_Tobago,30,94
8291,United_States,85,94
8292,Other_places_of_birth_in_Americas,105,94
8293,Europe,880,94
8294,Bosnia_and_Herzegovina,10,94
8295,Croatia,20,94
8296,France,25,94
8297,Germany,30,94
8298,Greece,270,94
8299,Hungary,45,94
8300,Ireland,15,94
8301,Italy,170,94
8302,Netherlands,15,94
8303,Poland,10,94
8304,Portugal,100,94
8305,Romania,40,94
8306,Russian_Federation,20,94
8307,Serbia,15,94
8308,Ukraine,15,94
8309,United_Kingdom,50,94
8310,Other_places_of_birth_in_Europe,50,94
8311,Africa,25,94
8312,Algeria,0,94
8313,Egypt,0,94
8314,Ethiopia,10,94
8315,Kenya,0,94
8316,Morocco,0,94
8317,Nigeria,0,94
8318,Somalia,0,94
8319,South_Africa_Republic_of,15,94
8320,Other_places_of_birth_in_Africa,0,94
8321,Asia,365,94
8322,Afghanistan,0,94
8323,Bangladesh,0,94
8324,China,95,94
8325,Hong_Kong,15,94
8326,India,20,94
8327,Iran,10,94
8328,Iraq,10,94
8329,Japan,10,94
8330,Korea_South,15,94
8331,Lebanon,0,94
8332,Pakistan,10,94
8333,Philippines,120,94
8334,Sri_Lanka,10,94
8335,Syria,0,94
8336,Taiwan,0,94
8337,Viet_Nam,40,94
8338,Other_places_of_birth_in_Asia,25,94
8339,Oceania_and_other_places_of_birth,10,94
8340,Total_Immigrant_Population,1585,94
8341,Americas,350,94
8342,Brazil,25,94
8343,Colombia,10,94
8344,El_Salvador,0,94
8345,Guyana,10,94
8346,Haiti,0,94
8347,Jamaica,90,94
8348,Mexico,15,94
8349,Peru,10,94
8350,Trinidad_and_Tobago,30,94
8351,United_States,40,94
8352,Other_places_of_birth_in_Americas,125,94
8353,Europe,580,94
8354,Bosnia_and_Herzegovina,15,94
8355,Croatia,10,94
8356,France,10,94
8357,Germany,15,94
8358,Greece,20,94
8359,Hungary,0,94
8360,Ireland,10,94
8361,Italy,120,94
8362,Netherlands,10,94
8363,Poland,0,94
8364,Portugal,300,94
8365,Romania,0,94
8366,Russian_Federation,0,94
8367,Serbia,0,94
8368,Ukraine,0,94
8369,United_Kingdom,25,94
8370,Other_places_of_birth_in_Europe,30,94
8371,Africa,90,94
8372,Algeria,0,94
8373,Egypt,0,94
8374,Ethiopia,20,94
8375,Kenya,0,94
8376,Morocco,0,94
8377,Nigeria,0,94
8378,Somalia,10,94
8379,South_Africa_Republic_of,0,94
8380,Other_places_of_birth_in_Africa,55,94
8381,Asia,550,94
8382,Afghanistan,0,94
8383,Bangladesh,0,94
8384,China,175,94
8385,Hong_Kong,15,94
8386,India,25,94
8387,Iran,15,94
8388,Iraq,0,94
8389,Japan,0,94
8390,Korea_South,35,94
8391,Lebanon,0,94
8392,Pakistan,0,94
8393,Philippines,85,94
8394,Sri_Lanka,0,94
8395,Syria,0,94
8396,Taiwan,10,94
8397,Viet_Nam,140,94
8398,Other_places_of_birth_in_Asia,45,94
8399,Oceania_and_other_places_of_birth,10,94
8400,Total_Immigrant_Population,1105,94
8401,Americas,225,94
8402,Brazil,0,94
8403,Colombia,0,94
8404,El_Salvador,0,94
8405,Guyana,10,94
8406,Haiti,0,94
8407,Jamaica,45,94
8408,Mexico,10,94
8409,Peru,10,94
8410,Trinidad_and_Tobago,25,94
8411,United_States,80,94
8412,Other_places_of_birth_in_Americas,45,94
8413,Europe,475,94
8414,Bosnia_and_Herzegovina,0,94
8415,Croatia,0,94
8416,France,15,94
8417,Germany,55,94
8418,Greece,10,94
8419,Hungary,30,94
8420,Ireland,0,94
8421,Italy,70,94
8422,Netherlands,0,94
8423,Poland,15,94
8424,Portugal,80,94
8425,Romania,0,94
8426,Russian_Federation,20,94
8427,Serbia,10,94
8428,Ukraine,15,94
8429,United_Kingdom,85,94
8430,Other_places_of_birth_in_Europe,80,94
8431,Africa,90,94
8432,Algeria,0,94
8433,Egypt,0,94
8434,Ethiopia,35,94
8435,Kenya,10,94
8436,Morocco,0,94
8437,Nigeria,10,94
8438,Somalia,0,94
8439,South_Africa_Republic_of,20,94
8440,Other_places_of_birth_in_Africa,15,94
8441,Asia,310,94
8442,Afghanistan,0,94
8443,Bangladesh,0,94
8444,China,60,94
8445,Hong_Kong,15,94
8446,India,15,94
8447,Iran,15,94
8448,Iraq,0,94
8449,Japan,10,94
8450,Korea_South,25,94
8451,Lebanon,10,94
8452,Pakistan,0,94
8453,Philippines,80,94
8454,Sri_Lanka,0,94
8455,Syria,0,94
8456,Taiwan,0,94
8457,Viet_Nam,15,94
8458,Other_places_of_birth_in_Asia,65,94
8459,Oceania_and_other_places_of_birth,10,94
8460,Total_Immigrant_Population,485,96
8461,Americas,85,96
8462,Brazil,0,96
8463,Colombia,0,96
8464,El_Salvador,0,96
8465,Guyana,10,96
8466,Haiti,0,96
8467,Jamaica,10,96
8468,Mexico,0,96
8469,Peru,0,96
8470,Trinidad_and_Tobago,0,96
8471,United_States,35,96
8472,Other_places_of_birth_in_Americas,10,96
8473,Europe,240,96
8474,Bosnia_and_Herzegovina,15,96
8475,Croatia,0,96
8476,France,0,96
8477,Germany,20,96
8478,Greece,10,96
8479,Hungary,25,96
8480,Ireland,15,96
8481,Italy,0,96
8482,Netherlands,0,96
8483,Poland,10,96
8484,Portugal,10,96
8485,Romania,15,96
8486,Russian_Federation,15,96
8487,Serbia,0,96
8488,Ukraine,20,96
8489,United_Kingdom,70,96
8490,Other_places_of_birth_in_Europe,0,96
8491,Africa,30,96
8492,Algeria,0,96
8493,Egypt,0,96
8494,Ethiopia,10,96
8495,Kenya,0,96
8496,Morocco,0,96
8497,Nigeria,0,96
8498,Somalia,0,96
8499,South_Africa_Republic_of,15,96
8500,Other_places_of_birth_in_Africa,0,96
8501,Asia,135,96
8502,Afghanistan,0,96
8503,Bangladesh,0,96
8504,China,25,96
8505,Hong_Kong,15,96
8506,India,10,96
8507,Iran,10,96
8508,Iraq,0,96
8509,Japan,0,96
8510,Korea_South,20,96
8511,Lebanon,0,96
8512,Pakistan,0,96
8513,Philippines,10,96
8514,Sri_Lanka,10,96
8515,Syria,0,96
8516,Taiwan,0,96
8517,Viet_Nam,0,96
8518,Other_places_of_birth_in_Asia,35,96
8519,Oceania_and_other_places_of_birth,0,96
8520,Total_Immigrant_Population,1055,96
8521,Americas,305,96
8522,Brazil,20,96
8523,Colombia,25,96
8524,El_Salvador,0,96
8525,Guyana,10,96
8526,Haiti,0,96
8527,Jamaica,10,96
8528,Mexico,35,96
8529,Peru,0,96
8530,Trinidad_and_Tobago,15,96
8531,United_States,160,96
8532,Other_places_of_birth_in_Americas,35,96
8533,Europe,435,96
8534,Bosnia_and_Herzegovina,0,96
8535,Croatia,0,96
8536,France,20,96
8537,Germany,15,96
8538,Greece,0,96
8539,Hungary,40,96
8540,Ireland,15,96
8541,Italy,0,96
8542,Netherlands,10,96
8543,Poland,20,96
8544,Portugal,10,96
8545,Romania,50,96
8546,Russian_Federation,35,96
8547,Serbia,0,96
8548,Ukraine,10,96
8549,United_Kingdom,140,96
8550,Other_places_of_birth_in_Europe,50,96
8551,Africa,90,96
8552,Algeria,10,96
8553,Egypt,10,96
8554,Ethiopia,10,96
8555,Kenya,0,96
8556,Morocco,10,96
8557,Nigeria,0,96
8558,Somalia,10,96
8559,South_Africa_Republic_of,35,96
8560,Other_places_of_birth_in_Africa,20,96
8561,Asia,205,96
8562,Afghanistan,0,96
8563,Bangladesh,0,96
8564,China,40,96
8565,Hong_Kong,10,96
8566,India,20,96
8567,Iran,20,96
8568,Iraq,10,96
8569,Japan,0,96
8570,Korea_South,10,96
8571,Lebanon,15,96
8572,Pakistan,10,96
8573,Philippines,0,96
8574,Sri_Lanka,0,96
8575,Syria,15,96
8576,Taiwan,15,96
8577,Viet_Nam,10,96
8578,Other_places_of_birth_in_Asia,40,96
8579,Oceania_and_other_places_of_birth,15,96
8580,Total_Immigrant_Population,1345,96
8581,Americas,350,96
8582,Brazil,20,96
8583,Colombia,25,96
8584,El_Salvador,0,96
8585,Guyana,0,96
8586,Haiti,0,96
8587,Jamaica,35,96
